ERROR - 2021-06-23 13:25:20,709 - root - local variable 'words' referenced before assignment in -makefile- 
ERROR - 2021-06-23 13:25:56,676 - root - local variable 'words' referenced before assignment in -makefile- 
ERROR - 2021-06-23 13:27:11,833 - root - 'NoneType' object is not subscriptable in -makefile- 
DEBUG - 2021-06-23 13:31:10,662 - urllib3.connectionpool - Starting new HTTPS connection (1): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:10,663 - urllib3.connectionpool - Starting new HTTPS connection (2): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:10,663 - urllib3.connectionpool - Starting new HTTPS connection (3): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:10,665 - urllib3.connectionpool - Starting new HTTPS connection (4): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:10,665 - urllib3.connectionpool - Starting new HTTPS connection (5): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:10,665 - urllib3.connectionpool - Starting new HTTPS connection (6): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:10,666 - urllib3.connectionpool - Starting new HTTPS connection (7): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:10,667 - urllib3.connectionpool - Starting new HTTPS connection (8): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:10,674 - urllib3.connectionpool - Starting new HTTPS connection (9): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:10,674 - urllib3.connectionpool - Starting new HTTPS connection (10): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:10,676 - urllib3.connectionpool - Starting new HTTPS connection (11): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:10,676 - urllib3.connectionpool - Starting new HTTPS connection (12): api.dictionaryapi.dev:443 
DEBUG - 2021-06-23 13:31:11,638 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/gentlemen HTTP/1.1" 200 427 
DEBUG - 2021-06-23 13:31:11,671 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/fidgeting HTTP/1.1" 200 795 
DEBUG - 2021-06-23 13:31:11,697 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/blushed HTTP/1.1" 200 1345 
DEBUG - 2021-06-23 13:31:11,703 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/awkward HTTP/1.1" 200 931 
DEBUG - 2021-06-23 13:31:11,704 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Unabashed HTTP/1.1" 200 571 
DEBUG - 2021-06-23 13:31:11,718 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Khan HTTP/1.1" 200 734 
DEBUG - 2021-06-23 13:31:11,719 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Unabashedly HTTP/1.1" 200 290 
DEBUG - 2021-06-23 13:31:11,742 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/straws HTTP/1.1" 404 205 
DEBUG - 2021-06-23 13:31:11,750 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Unnecessarily HTTP/1.1" 200 332 
DEBUG - 2021-06-23 13:31:11,767 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/blurted HTTP/1.1" 200 417 
DEBUG - 2021-06-23 13:31:11,770 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/roving HTTP/1.1" 200 1005 
DEBUG - 2021-06-23 13:31:11,773 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/fixing HTTP/1.1" 200 627 
DEBUG - 2021-06-23 13:31:11,874 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/smiled HTTP/1.1" 200 709 
DEBUG - 2021-06-23 13:31:11,918 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/nervously HTTP/1.1" 200 196 
DEBUG - 2021-06-23 13:31:11,938 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/politician HTTP/1.1" 200 559 
DEBUG - 2021-06-23 13:31:11,951 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/Shameless HTTP/1.1" 200 456 
DEBUG - 2021-06-23 13:31:11,962 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/yelled HTTP/1.1" 200 768 
DEBUG - 2021-06-23 13:31:11,970 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/aunt HTTP/1.1" 200 513 
DEBUG - 2021-06-23 13:31:11,977 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/brushed HTTP/1.1" 200 358 
DEBUG - 2021-06-23 13:31:12,001 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/sweetly HTTP/1.1" 200 389 
DEBUG - 2021-06-23 13:31:12,005 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/learns HTTP/1.1" 200 579 
DEBUG - 2021-06-23 13:31:12,022 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/sushi HTTP/1.1" 200 428 
DEBUG - 2021-06-23 13:31:12,037 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/evolve HTTP/1.1" 200 696 
DEBUG - 2021-06-23 13:31:12,055 - urllib3.connectionpool - https://api.dictionaryapi.dev:443 "GET /api/v2/entries/en_US/pushes HTTP/1.1" 200 1883 
